Unnamed: 0,Periods,AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,Power_Demand
0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8077217791535207,0.0,0.8077217791535207
1,2,0,0,0,0,0.0,0.0,0.0,0.452,0.0,0.0,0.0,0.0,0.0,0.6550985909493807,0.0,0.6550985909493807
2,3,0,0,0,0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,1.300045948697733,0.0,1.300045948697733
3,4,0,0,0,0,0.0,0.0,0.0,0.598,0.0,0.0,0.0,0.0,0.0,1.501006315819977,0.0,1.501006315819977
4,5,0,0,0,0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.6527647295076348,0.0,0.6527647295076348
5,6,0,0,0,0,0.0,0.0,0.0,0.435,0.0,0.0,0.0,0.0,0.14,0.6625967415388194,0.0,0.6625967415388194
6,7,0,0,0,0,0.0,0.0,0.0,0.626,0.0,0.0,0.0,0.0,0.0,0.8081474073799789,0.0,0.8081474073799789
7,8,0,0,0,0,0.0,0.0,0.0,0.497,0.0,0.0,0.0,0.0,0.0,0.6599791279461015,0.0,0.6599791279461015
8,9,0,0,0,0,0.0,0.0,0.0,0.291,0.0,0.0,0.0,0.0,0.14,0.6526866976661174,0.0,0.6526866976661174
9,10,0,0,0,0,0.0,0.0,0.0,0.335,0.0,0.0,0.0,0.0,0.14,0.7887174788421616,0.0,0.7887174788421616
10,11,0,0,0,0,0.0,0.0,0.0,0.234,0.0,0.0,0.0,0.0,0.0,0.695143113255324,0.0,0.695143113255324
11,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803032774858706,0.0,0.803032774858706
12,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514172415625084,0.0,1.514172415625084
13,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.203222620982264,0.0,1.203222620982264
14,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6493597036959691,0.0,0.6493597036959691
15,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.383652850437691,0.0,2.383652850437691
16,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.946560367536224,0.0,2.946560367536224
17,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102972316499824,0.0,2.102972316499824
18,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.834783971008506,0.0,1.834783971008506
19,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.084280813098517,0.0,1.084280813098517
20,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2819006681870472,0.0,0.2819006681870472
21,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2728489745710359,0.0,0.2728489745710359
22,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4248975646694574,0.0,0.4248975646694574
23,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294704983999665,0.0,0.294704983999665
24,25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2768853489186146,0.0,0.2768853489186146
25,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.982,0.0,0.0,0.0,1.009285119596581,0.0,1.009285119596581
26,27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.076030719309002,0.0,1.076030719309002
27,28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5563528424110757,0.0,0.5563528424110757
28,29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3544773746019464,0.0,0.3544773746019464
29,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3701192119242856,0.0,0.3701192119242856
30,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2841352163759528,0.0,0.2841352163759528
31,32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2938324461354257,0.0,0.2938324461354257
32,33,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3933514192851297,0.0,0.3933514192851297
33,34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2665071139968085,0.0,0.2665071139968085
34,35,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574979832034431,0.0,0.2574979832034431
35,36,0,0,0,0,0.0,0.0,0.0,0.377,0.0,0.0,0.0,0.0,0.14,0.6648029145126277,0.0,0.6648029145126277
36,37,0,0,0,0,0.0,0.0,0.0,0.387,0.0,0.0,0.0,0.0,0.0,1.056423445676827,0.0,1.056423445676827
37,38,0,0,0,0,0.0,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.4952610043067739,0.0,0.4952610043067739
38,39,0,0,0,0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.14,0.368700451169425,0.0,0.368700451169425
39,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3077859581594807,0.0,0.3077859581594807
40,41,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649110081475903,0.0,0.2649110081475903
41,42,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3268682903123572,0.0,0.3268682903123572
42,43,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3437089804725537,0.0,0.3437089804725537
43,44,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2617826406831225,0.0,0.2617826406831225
44,45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2783041096734754,0.0,0.2783041096734754
45,46,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4013603237463184,0.0,0.4013603237463184
46,47,0,0,0,0,0.0269875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.409056431297455,0.0,1.409056431297455
47,48,0,0,0,0,1.28138125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.615244931801361,0.0,1.615244931801361
48,49,0,0,0,0,0.03261875,2.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62103280613721,0.0,2.62103280613721
49,50,0,0,0,0,0.03199375,1.39855625,0.0,0.0,0.0330846153846153,0.0,0.0,0.0,0.14,2.438913581839516,0.0,2.438913581839516
50,51,0,0,0,0,0.03325,1.0130375,0.0,0.0,0.0325923076923076,0.0,0.0,0.0,0.14,1.741833860153807,0.0,1.741833860153807
51,52,0,0,0,0,0.0295125,0.1570625,0.0,0.0,0.0328692307692307,0.982,0.0,0.0,0.0,1.210734959179252,0.0,1.210734959179252
52,53,0,0,0,0,0.0,0.10991875,0.0,0.0,0.032,0.0,0.0,0.0,0.0,1.141371745874112,0.0,1.141371745874112
53,54,0,0,0,0,0.0,0.44718125,0.0,0.0,0.0313153846153846,0.0,0.0,0.0,0.0,0.886072841840703,0.0,0.886072841840703
54,55,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3084244004991681,0.0,0.3084244004991681
55,56,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3281026121690859,0.0,0.3281026121690859
56,57,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3584853737344279,0.0,0.3584853737344279
57,58,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2799356845415651,0.0,0.2799356845415651
58,59,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292318787755568,0.0,0.4292318787755568
59,60,0,0,0,0,0.0,0.0,1.065,0.0,0.0,0.0,0.0,0.0,0.0,1.244132587348673,0.0,1.244132587348673
60,61,0,0,0,0,0.0,0.0,0.8627875,0.0,0.0,0.0,0.0,0.0,0.0,0.8659760957481012,0.0,0.8659760957481012
61,62,0,0,0,0,0.0,0.0,0.0267624999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.2610165098754977,0.0,0.2610165098754977
62,63,0,0,0,0,0.0,0.0,0.03083125,0.0,0.0,0.0,0.0,0.0,0.0,0.3178236905001202,0.0,0.3178236905001202
63,64,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3649832979916899,0.0,0.3649832979916899
64,65,0,0,0,0,0.0,0.0,0.0,0.0,0.0524171428571428,0.0,0.0,0.0,0.0,0.2557741888862874,0.0,0.2557741888862874
65,66,0,0,0,0,0.0,0.0,0.0,0.0,0.0601314285714285,0.0,0.0,0.0,0.0,0.2773748213790415,0.0,0.2773748213790415
66,67,0,0,0,0,0.0,0.0,0.0,0.0,0.0599828571428571,0.0,0.0,0.0,0.0,0.4007928194443741,0.0,0.4007928194443741
67,68,0,0,0,0,0.0,0.0,0.0,0.0,0.0614971428571428,0.0,0.0,0.0,0.0,0.4439869906261081,0.0,0.4439869906261081
68,69,0,0,0,0,0.0,0.0,0.0,0.0,0.0687885714285714,0.0,0.0,0.0,0.0,1.078016984365807,0.0,1.078016984365807
69,70,0,0,0,0,0.0,0.0,0.0,0.0,0.0438,0.0,0.0,0.0,0.0,0.5338371092314365,0.0,0.5338371092314365
70,71,0,0,0,0,0.0,0.0,0.0,0.0,0.0212457142857142,0.0,0.0,0.0,0.14,0.3083747438727479,0.0,0.3083747438727479
71,72,0,0,0,0,0.0,0.0,0.0,0.0,0.02128,0.0,0.0,0.0,0.0,0.2805812206850267,0.0,0.2805812206850267
72,73,0,0,0,0,0.0,0.0,0.0,0.0,0.0211657142857142,0.0,0.0,0.0,0.0,0.3661892446333215,0.0,0.3661892446333215
73,74,0,0,0,0,0.0,0.0,0.0,0.0,0.0211314285714285,0.0,0.0,0.0,0.14,0.3471636629106395,0.0,0.3471636629106395
74,75,0,0,0,0,0.0,0.0,0.0,0.0,0.0212228571428571,0.0,0.0,0.0,0.14,0.2746082379070632,0.0,0.2746082379070632
75,76,0,0,0,0,0.0,0.0,0.0,0.0,0.0212571428571428,0.0,0.0,0.0,0.0,0.3233923264629485,0.0,0.3233923264629485
76,77,0,0,0,0,0.0,0.0,0.0,0.0,0.0213371428571428,0.0,0.0,0.0,0.0,0.7311228859985913,0.0,0.7311228859985913
77,78,0,0,0,0,0.0,0.0,0.0,0.0,0.0213371428571428,0.0,0.0,0.0,0.0,1.229412944516993,0.0,1.229412944516993
78,79,0,0,0,0,0.0,0.0,0.0,0.0,0.0211828571428571,0.0,0.0,0.0,0.14,1.08140072876615,0.0,1.08140072876615
79,80,0,0,0,0,0.0,0.0,0.0,0.0,0.0211714285714285,0.0,0.0,0.0,0.0,3.80989047447651,0.0,3.80989047447651
80,81,0,0,0,0,0.0,0.0,0.0,0.0,0.0212285714285714,0.0,0.0,0.0503333333333333,0.0,3.720288639003282,0.0,3.720288639003282
81,82,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.801,0.0,0.0686666666666666,0.14,4.717890263783585,0.0,4.717890263783585
82,83,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.354,0.0686666666666666,0.0,2.818559772232691,0.0,2.818559772232691
83,84,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,2.634312406802706,0.0,2.634312406802706
84,85,0,0,0,0,0.0,2.073,0.0,0.0,0.0,0.0,0.0,0.0676666666666666,0.14,2.282254019287797,0.0,2.282254019287797
85,86,0,0,0,0,0.0,1.39855625,0.0,0.452,0.0,0.0,0.0,0.069,0.14,3.488924228904373,0.0,3.488924228904373
86,87,0,0,0,0,0.0,1.0130375,0.0,0.128,0.0,0.0,0.0,0.0686666666666666,0.0,4.974217769364268,0.0,4.974217769364268
87,88,0,0,0,0,2.06599354838709,0.1570625,0.0,0.598,0.0,0.0,0.0,0.0683333333333333,0.0,6.300383103558986,0.0,6.300383103558986
88,89,0,0,0,0,2.05672268907563,0.10991875,0.0,0.23,0.0,0.0,0.0,0.107,0.0,3.58469057985747,0.0,3.58469057985747
89,90,0,0,0,0,0.0,0.44718125,0.0,0.435,0.0,0.0,0.0,0.121333333333333,0.14,1.93812650439256,0.0,1.93812650439256
90,91,0,0,0,0,0.0,0.0,0.0,0.626,0.0,0.0,0.0,0.121666666666666,0.0,1.855093531214337,0.0,1.855093531214337
91,92,0,0,0,0,0.0,0.0,0.0,0.497,0.0,0.0,0.0,0.136333333333333,0.0,4.213208688064535,0.0,4.213208688064535
92,93,0,0,0,0,0.0,0.0,0.0,0.291,0.0,0.0,0.0,0.342,0.0,5.899122093065507,0.0,5.899122093065507
93,94,0,0,0,0,0.0,0.0,0.0,0.335,0.0,0.0,0.0,0.342666666666666,0.0,2.995649489654404,0.0,2.995649489654404
94,95,0,0,0,0,0.0,0.0,0.0,0.234,0.0,0.0,0.0,0.342,0.0,2.55941602655361,0.0,2.55941602655361
