Unnamed: 0,Periods,AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,Power_Demand
0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.201687619930011,0,1.201687619930011
1,2,0,0,0,0,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,1.201687619930011,0,1.201687619930011
2,3,0,0,0,0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,1.264275516801366,0,1.264275516801366
3,4,0,0,0,0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,1.264275516801366,0,1.264275516801366
4,5,0,0,0,0,0.0,0.0,0.0,0.351,0.0,0.0,0.0,0.0,0.0,2.2406467079945,0,2.2406467079945
5,6,0,0,0,0,0.0,0.0,0.0,0.796,0.0,0.0,0.0,0.0,0.0,2.2406467079945,0,2.2406467079945
6,7,0,0,0,0,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.0,0.726019603707715,0,0.726019603707715
7,8,0,0,0,0,0.0,0.0,0.0,0.482,0.0,0.0,0.0,0.0,0.0,0.726019603707715,0,0.726019603707715
8,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.7510547624562569,0,0.7510547624562569
9,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7510547624562569,0,0.7510547624562569
10,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.063994246813031,0,1.063994246813031
11,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.063994246813031,0,1.063994246813031
12,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.6258789687135474,0,0.6258789687135474
13,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6258789687135474,0,0.6258789687135474
14,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9638536118188632,0,0.9638536118188632
15,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9638536118188632,0,0.9638536118188632
16,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.389451310544076,0,1.389451310544076
17,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.389451310544076,0,1.389451310544076
18,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.013923929315947,0,1.013923929315947
19,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.013923929315947,0,1.013923929315947
20,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9513360324445922,0,0.9513360324445922
21,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9513360324445922,0,0.9513360324445922
22,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.7009844449591732,0,0.7009844449591732
23,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.7009844449591732,0,0.7009844449591732
24,25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5758086512164636,0,0.5758086512164636
25,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5758086512164636,0,0.5758086512164636
26,27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.414486469292617,0,1.414486469292617
27,28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.414486469292617,0,1.414486469292617
28,29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.389451310544076,0,1.389451310544076
29,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.389451310544076,0,1.389451310544076
30,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.33461333333333,0.0,0.0,0.0,1.527144683661056,0,1.527144683661056
31,32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.527144683661056,0,1.527144683661056
32,33,0,0,0,0,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,1.739943533023662,0,1.739943533023662
33,34,0,0,0,0,1.40230625,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,1.739943533023662,0,1.739943533023662
34,35,0,0,0,0,0.72044375,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,1.427004048666888,0,1.427004048666888
35,36,0,0,0,0,0.92653125,0.0,0.0,0.351,0.0,0.0,0.0,0.0,0.0,1.427004048666888,0,1.427004048666888
36,37,0,0,0,0,0.349375,0.0,0.0,0.796,0.0,0.0,0.0,0.0,0.0,1.464556786789701,0,1.464556786789701
37,38,0,0,0,0,0.06589375,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.0,1.464556786789701,0,1.464556786789701
38,39,0,0,0,0,0.06323125,0.16180625,0.0,0.482,0.0,0.0,0.0,0.0,0.0,1.201687619930011,0,1.201687619930011
39,40,0,0,0,0,0.0,1.12649375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.201687619930011,0,1.201687619930011
40,41,0,0,0,0,0.0,0.0954562499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5382559130936507,0,0.5382559130936507
41,42,0,0,0,0,0.0,0.08740625,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.5382559130936507,0,0.5382559130936507
42,43,0,0,0,0,0.0,0.10265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9888887705674048,0,0.9888887705674048
43,44,0,0,0,0,0.0,0.11468125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9888887705674048,0,0.9888887705674048
44,45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.5382559130936507,0,0.5382559130936507
45,46,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.5382559130936507,0,0.5382559130936507
46,47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6008438099650055,0,0.6008438099650055
47,48,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6008438099650055,0,0.6008438099650055
48,49,0,0,0,0,0.0,0.0,0.0,0.0,0.0314,0.0,0.0,0.0,0.0,0.7635723418305278,0,0.7635723418305278
49,50,0,0,0,0,0.0,0.0,0.0,0.0,0.0714166666666666,0.0,0.0,0.0,0.14,0.7635723418305278,0,0.7635723418305278
50,51,0,0,0,0,0.0,0.0,0.0,0.0,0.0710583333333333,0.0,0.0,0.0,0.0,0.1752461112397933,0,0.1752461112397933
51,52,0,0,0,0,0.0,0.0,0.0,0.0,0.0119333333333333,0.0,0.0,0.0,0.0,0.1752461112397933,0,0.1752461112397933
52,53,0,0,0,0,0.0,0.0,0.0,0.0,0.0416,0.0,0.0,0.0,0.14,0.3880449606023994,0,0.3880449606023994
53,54,0,0,0,0,0.0,0.0,0.0,0.0,0.0713833333333333,0.0,0.0,0.0,0.0,0.3880449606023994,0,0.3880449606023994
