Unnamed: 0,Periods,AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,datetime,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2,Power_Demand
0,1,0,0,0,0,0.0,0.0,0.0,0.609,0.0,0.0,0.0,0.0,0.0,1.036777596453748,0.0,2019-01-01 00:15:00.000,8,4,1030,5,7,76,0,0,0,1.036777596453748
1,2,0,0,0,0,0.0,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.14,1.036777596453748,0.0,2019-01-01 00:30:00.000,8,4,1030,3,6,76,0,0,0,1.036777596453748
2,3,0,0,0,0,0.0,0.0,0.0,0.355,0.0,0.0,0.0,0.0,0.0,1.090776429602381,0.0,2019-01-01 00:45:00.000,8,4,1030,4,6,78,0,0,0,1.090776429602381
3,4,0,0,0,0,0.0,0.0,0.0,0.951,0.0,0.0,0.0,0.0,0.0,1.090776429602381,0.0,2019-01-01 01:00:00.000,8,4,1030,3,6,78,0,0,0,1.090776429602381
4,5,0,0,0,0,0.0,0.0,0.0,0.964,0.0,0.0,0.0,0.0,0.14,1.933158226721051,0.0,2019-01-01 01:15:00.000,8,4,1030,2,8,78,0,0,0,1.933158226721051
5,6,0,0,0,0,0.0,0.0,0.0,0.639,0.0,0.0,0.0,0.0,0.14,1.933158226721051,0.0,2019-01-01 01:30:00.000,7,4,1030,3,4,78,0,0,0,1.933158226721051
6,7,0,0,0,0,0.0,0.0,0.0,0.351,0.0,0.0,0.0,0.0,0.0,0.6263864645241396,0.0,2019-01-01 01:45:00.000,7,4,1030,4,8,80,0,0,0,0.6263864645241396
7,8,0,0,0,0,0.0,0.0,0.0,0.153,0.0,0.0,0.0,0.0,0.0,0.6263864645241396,0.0,2019-01-01 02:00:00.000,7,4,1030,3,7,81,0,0,0,0.6263864645241396
8,9,0,0,0,0,0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.6479859977835927,0.0,2019-01-01 02:15:00.000,7,4,1030,4,14,81,0,0,0,0.6479859977835927
9,10,0,0,0,0,0.0,0.0,0.0,0.417,0.0,0.0,0.0,0.0,0.14,0.6479859977835927,0.0,2019-01-01 02:30:00.000,7,4,1030,4,9,81,0,0,0,0.6479859977835927
10,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9179801635267564,0.0,2019-01-01 02:45:00.000,6,3,1031,4,10,82,0,0,0,0.9179801635267564
