Unnamed: 0,Periods,AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,datetime,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2,Power_Demand
0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.237877330780441,0.0,2019-01-01 00:15:00.000,8,4,1030,5,7,76,0,0,0,0.237877330780441
1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1929291845719168,0.0,2019-01-01 00:30:00.000,8,4,1030,3,6,76,0,0,0,0.1929291845719168
2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3828687899096064,0.0,2019-01-01 00:45:00.000,8,4,1030,4,6,78,0,0,0,0.3828687899096064
3,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.4420524308085737,0.0,2019-01-01 01:00:00.000,8,4,1030,3,6,78,0,0,0,0.4420524308085737
4,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1922418529380518,0.0,2019-01-01 01:15:00.000,8,4,1030,2,8,78,0,0,0,0.1922418529380518
5,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1951374202466744,0.0,2019-01-01 01:30:00.000,7,4,1030,3,4,78,0,0,0,0.1951374202466744
6,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380026800145805,0.0,2019-01-01 01:45:00.000,7,4,1030,4,8,80,0,0,0,0.2380026800145805
7,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1943665224567165,0.0,2019-01-01 02:00:00.000,7,4,1030,3,7,81,0,0,0,0.1943665224567165
8,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1922188722451263,0.0,2019-01-01 02:15:00.000,7,4,1030,4,14,81,0,0,0,0.1922188722451263
9,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2322804874761121,0.0,2019-01-01 02:30:00.000,7,4,1030,4,9,81,0,0,0,0.2322804874761121
10,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2047224583505419,0.0,2019-01-01 02:45:00.000,6,3,1031,4,10,82,0,0,0,0.2047224583505419
11,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2364964000510041,0.0,2019-01-01 03:00:00.000,6,3,1030,4,7,82,0,0,0,0.2364964000510041
12,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4459299004512891,0.0,2019-01-01 03:15:00.000,6,3,1030,3,8,82,0,0,0,0.4459299004512891
13,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3543539282967714,0.0,2019-01-01 03:30:00.000,6,3,1030,5,6,82,0,0,0,0.3543539282967714
14,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1912390590649358,0.0,2019-01-01 03:45:00.000,6,3,1030,3,8,81,0,0,0,0.1912390590649358
15,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7019954051053723,0.0,2019-01-01 04:00:00.000,6,3,1030,3,6,81,0,0,0,0.7019954051053723
16,17,0,0,0,0,0.0,0.0,0.0,0.346,0.0,0.0,0.0,0.0,0.0,0.8677739455626722,0.0,2019-01-01 04:15:00.000,6,3,1030,3,5,81,0,0,0,0.8677739455626722
17,18,0,0,0,0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0,0.6193338526520756,0.0,2019-01-01 04:30:00.000,6,3,1030,4,10,82,0,0,0,0.6193338526520756
18,19,0,0,0,0,0.0,0.0,0.0,0.373,0.0,0.0,0.0,0.0,0.0,0.5403513002207735,0.0,2019-01-01 04:45:00.000,6,3,1030,4,6,82,0,0,0,0.5403513002207735
19,20,0,0,0,0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.14,0.3193250848164867,0.0,2019-01-01 05:00:00.000,6,3,1030,5,7,82,0,0,0,0.3193250848164867
20,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0830208869244965,0.0,2019-01-01 05:15:00.000,6,3,1030,4,8,82,0,0,0,0.0830208869244965
21,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0803551265451296,0.0,2019-01-01 05:30:00.000,6,3,1030,5,9,82,0,0,0,0.0803551265451296
22,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1251340512875656,0.0,2019-01-01 05:45:00.000,5,3,1030,4,10,82,0,0,0,0.1251340512875656
23,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0867918097181932,0.0,2019-01-01 06:00:00.000,5,3,1030,4,9,83,0,0,0,0.0867918097181932
24,25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0815438551155526,0.0,2019-01-01 06:15:00.000,5,3,1030,4,11,83,0,0,0,0.0815438551155526
25,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2972385497611059,0.0,2019-01-01 06:30:00.000,5,2,1031,3,6,83,0,0,0,0.2972385497611059
26,27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3168953988280826,0.0,2019-01-01 06:45:00.000,5,2,1031,5,7,84,0,0,0,0.3168953988280826
27,28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1638481622515517,0.0,2019-01-01 07:00:00.000,5,2,1031,4,10,84,0,0,0,0.1638481622515517
28,29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1043950204991844,0.0,2019-01-01 07:15:00.000,5,2,1031,5,11,83,0,0,0,0.1043950204991844
29,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1090016048538112,0.0,2019-01-01 07:30:00.000,5,2,1031,5,9,84,0,0,0,0.1090016048538112
