Unnamed: 0,Periods,AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,datetime,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2,Power_Demand
0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.390459462250228,0.0,2019-01-01 00:15:00.000,8,4,1030,5,7,76,0,0,0,1.390459462250228
1,2,0,0,0,0,0.0,0.0,0.0,0.377,0.0,0.0,0.0,0.0,0.0,1.390459462250228,0.0,2019-01-01 00:30:00.000,8,4,1030,3,6,76,0,0,0,1.390459462250228
2,3,0,0,0,0,0.0,0.0,0.0,0.387,0.0,0.0,0.0,0.0,0.0,1.188159007701526,0.0,2019-01-01 00:45:00.000,8,4,1030,4,6,78,0,0,0,1.188159007701526
3,4,0,0,0,0,0.0,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.14,1.188159007701526,0.0,2019-01-01 01:00:00.000,8,4,1030,3,6,78,0,0,0,1.188159007701526
4,5,0,0,0,0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.8220236779901448,0.0,2019-01-01 01:15:00.000,8,4,1030,2,8,78,0,0,0,0.8220236779901448
5,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8220236779901448,0.0,2019-01-01 01:30:00.000,7,4,1030,3,4,78,0,0,0,0.8220236779901448
6,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.8975301856738149,0.0,2019-01-01 01:45:00.000,7,4,1030,4,8,80,0,0,0,0.8975301856738149
7,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.8975301856738149,0.0,2019-01-01 02:00:00.000,7,4,1030,3,7,81,0,0,0,0.8975301856738149
8,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9673380890040006,0.0,2019-01-01 02:15:00.000,7,4,1030,4,14,81,0,0,0,0.9673380890040006
9,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9673380890040006,0.0,2019-01-01 02:30:00.000,7,4,1030,4,9,81,0,0,0,0.9673380890040006
10,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4573129993671343,0.0,2019-01-01 02:45:00.000,6,3,1031,4,10,82,0,0,0,0.4573129993671343
11,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.4573129993671343,0.0,2019-01-01 03:00:00.000,6,3,1030,4,7,82,0,0,0,0.4573129993671343
12,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3989023047439178,0.0,2019-01-01 03:15:00.000,6,3,1030,3,8,82,0,0,0,0.3989023047439178
13,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3989023047439178,0.0,2019-01-01 03:30:00.000,6,3,1030,5,6,82,0,0,0,0.3989023047439178
14,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2877795198509693,0.0,2019-01-01 03:45:00.000,6,3,1030,3,8,81,0,0,0,0.2877795198509693
15,16,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2877795198509693,0.0,2019-01-01 04:00:00.000,6,3,1030,3,6,81,0,0,0,0.2877795198509693
16,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664097535254022,0.0,2019-01-01 04:15:00.000,6,3,1030,3,5,81,0,0,0,0.2664097535254022
17,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2664097535254022,0.0,2019-01-01 04:30:00.000,6,3,1030,4,10,82,0,0,0,0.2664097535254022
18,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2664097535254022,0.0,2019-01-01 04:45:00.000,6,3,1030,4,6,82,0,0,0,0.2664097535254022
19,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2664097535254022,0.0,2019-01-01 05:00:00.000,6,3,1030,5,7,82,0,0,0,0.2664097535254022
20,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2065744078138146,0.0,2019-01-01 05:15:00.000,6,3,1030,4,8,82,0,0,0,0.2065744078138146
