Unnamed: 0,Periods,AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,Power_Demand
0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093229121352714,0,2.093229121352714
1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.137237592526628,0,2.137237592526628
2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.177033665955936,0,2.177033665955936
3,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.074827594363118,0,2.074827594363118
4,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.129367059898548,0,2.129367059898548
5,6,0,0,0,0,0.0,0.0,0.0,0.658,0.0,0.0,0.0,0.0,0.0,2.103205852853098,0,2.103205852853098
6,7,0,0,0,0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.14,2.072167132629682,0,2.072167132629682
7,8,0,0,0,0,0.0,0.0,0.0,0.557,0.0,0.0,0.0,0.0,0.14,2.087021377308031,0,2.087021377308031
8,9,0,0,0,0,0.0,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,2.109524449470008,0,2.109524449470008
9,10,0,0,0,0,0.0,0.0,0.0,1.016,0.0,0.0,0.0,0.0,0.0,2.16528329329993,0,2.16528329329993
10,11,0,0,0,0,0.0,0.0,0.0,0.793,0.0,0.0,0.0,0.0,0.0,2.110743827764499,0,2.110743827764499
11,12,0,0,0,0,0.0,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.14,2.202197199851349,0,2.202197199851349
12,13,0,0,0,0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.0,2.168498017894498,0,2.168498017894498
13,14,0,0,0,0,0.0,0.0,0.0,0.397,0.0,0.0,0.0,0.0,0.0,2.143445336571312,0,2.143445336571312
14,15,0,0,0,0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.14,2.107307398025477,0,2.107307398025477
15,16,0,0,0,0,0.0,0.0,0.0,0.469,0.0,0.0,0.0,0.0,0.0,2.033257879778186,0,2.033257879778186
16,17,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.070947754335191,0,2.070947754335191
17,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.027382693450182,0,2.027382693450182
18,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.027050135733503,0,2.027050135733503
19,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10786166088661,0,2.10786166088661
20,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04888809246212,0,2.04888809246212
21,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.130143027904134,0,2.130143027904134
22,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.065848536012772,0,2.065848536012772
23,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.990025376609857,0,1.990025376609857
24,25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.088684165891429,0,2.088684165891429
25,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.88392857142857,0.0,0.0,1.987475767448648,0,1.987475767448648
26,27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.032038501483694,0,2.032038501483694
27,28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,2.058753971390278,0,2.058753971390278
28,29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.972843227914752,0,1.972843227914752
29,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.053211342778953,0,2.053211342778953
30,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.040463296972908,0,2.040463296972908
31,32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.071834574913002,0,2.071834574913002
32,33,0,0,0,0,0.0,0.0,0.80391875,0.0,0.0,0.0,0.0,0.0,0.0,2.043567168995249,0,2.043567168995249
33,34,0,0,0,0,0.0,0.0,1.58922499999999,0.0,0.0,0.0,0.0,0.0,0.0,1.993794364065557,0,1.993794364065557
34,35,0,0,0,0,0.0,0.0,0.30928125,0.0,0.0,0.0,0.0,0.0,0.0,2.060084202256995,0,2.060084202256995
35,36,0,0,0,0,0.0,0.0,0.0338375,0.0,0.0,0.0,0.0,0.0,0.0,2.02272688541667,0,2.02272688541667
36,37,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.004657916143753,0,2.004657916143753
37,38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.642614469307173,0,2.642614469307173
38,39,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.893695545400161,0,2.893695545400161
39,40,0,0,0,0,2.22185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.921741246173462,0,2.921741246173462
40,41,0,0,0,0,2.20876923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.538302198842051,0,2.538302198842051
41,42,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.024833084288973,0,2.024833084288973
42,43,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153754625788376,0,2.153754625788376
43,44,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.134909688509873,0,2.134909688509873
44,45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.164729030438797,0,2.164729030438797
45,46,0,0,0,0,0.0,1.95172903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.123602726142771,0,2.123602726142771
46,47,0,0,0,0,0.0,1.90771428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.146881766310333,0,2.146881766310333
47,48,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,2.131473258770851,0,2.131473258770851
48,49,0,0,0,0,0.0,0.0,0.0,0.658,0.0,0.0,0.0,0.0,0.0,2.110854680336725,0,2.110854680336725
49,50,0,0,0,0,0.0,0.0,0.0,0.068,0.09953,0.0,0.0,0.0,0.0,2.187897218034133,0,2.187897218034133
50,51,0,0,0,0,0.0,0.0,0.0,0.557,0.14899,0.0,0.0,0.0,0.14,2.183795672861752,0,2.183795672861752
51,52,0,0,0,0,0.0,0.0,0.0,0.101,0.14945,0.0,0.0,0.0,0.14,2.216718886813019,0,2.216718886813019
52,53,0,0,0,0,0.0,0.0,0.0,1.016,0.148129999999999,0.0,0.0,0.0,0.0,2.156636792666264,0,2.156636792666264
53,54,0,0,0,0,0.0,0.0,0.0,0.793,0.14803,1.14,0.0,0.0,0.0,2.135574803943232,0,2.135574803943232
54,55,0,0,0,0,0.0,0.0,0.0,0.103,0.12486,0.0,0.0,0.0,0.0,2.191998763206512,0,2.191998763206512
55,56,0,0,0,0,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.14,0.7070177056605207,0,0.7070177056605207
56,57,0,0,0,0,0.0,0.0,0.0,0.397,0.0,0.0,0.0,0.0,0.0,0.6552495544307522,0,0.6552495544307522
57,58,0,0,0,0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.447844391794999,0,0.447844391794999
58,59,0,0,0,0,0.0,0.0,0.0,0.469,0.0,0.0,0.0,0.0,0.0,1.186344227967841,0,1.186344227967841
59,60,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,2.015188910505269,0,2.015188910505269
