Unnamed: 0,Periods,AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,Power_Demand
0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8146429049405036,0.0,0.8146429049405036
1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6607119343899742,0.0,0.6607119343899742
2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.311185652704754,0.0,1.311185652704754
3,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.513867988969032,0.0,1.513867988969032
4,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6583580747891782,0.0,0.6583580747891782
5,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.6682743343840206,0.0,0.6682743343840206
6,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8150721802476396,0.0,0.8150721802476396
7,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665634291245134,0.0,0.665634291245134
8,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.6582793743162032,0.0,0.6582793743162032
9,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.7954757624768797,0.0,0.7954757624768797
10,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7010995862030226,0.0,0.7010995862030226
11,12,0,0,0,0,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,0.8099137219735548,0.0,0.8099137219735548
12,13,0,0,0,0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,1.52714690513644,0.0,1.52714690513644
13,14,0,0,0,0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.14,1.213532674919758,0.0,1.213532674919758
14,15,0,0,0,0,0.0,0.0,0.0,0.351,0.0,0.0,0.0,0.0,0.0,0.6549238723320899,0.0,0.6549238723320899
15,16,0,0,0,0,0.0,0.0,0.0,0.796,0.0,0.0,0.0,0.0,0.0,2.404077657142382,0.0,2.404077657142382
16,17,0,0,0,0,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.14,2.971808560006691,0.0,2.971808560006691
17,18,0,0,0,0,0.0,0.0,0.0,0.482,0.0,0.0,0.0,0.0,0.0,2.120992055851525,0.0,2.120992055851525
18,19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85050568482511,0.0,1.85050568482511
19,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.093571690340594,0.0,1.093571690340594
20,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2843161905046474,0.0,0.2843161905046474
21,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2751869356395544,0.0,0.2751869356395544
22,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4285383845254502,0.0,0.4285383845254502
23,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2972302226609898,0.0,0.2972302226609898
24,25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2792578964688945,0.0,0.2792578964688945
25,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.976,0.0,0.0,0.0,1.017933381223225,0.0,1.017933381223225
26,27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.085250903970607,0.0,1.085250903970607
27,28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5611200631344143,0.0,0.5611200631344143
28,29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3575147849597934,0.0,0.3575147849597934
29,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3732906524970426,0.0,0.3732906524970426
30,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2865698858671116,0.0,0.2865698858671116
31,32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2963502082813609,0.0,0.2963502082813609
32,33,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3967219296782178,0.0,0.3967219296782178
33,34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2687907335632275,0.0,0.2687907335632275
34,35,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2597044062288482,0.0,0.2597044062288482
35,36,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6704994113926755,0.0,0.6704994113926755
36,37,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06547562148854,0.0,1.06547562148854
37,38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995047473834889,0.0,0.4995047473834889
38,39,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3718597348065892,0.0,0.3718597348065892
39,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3104232837669705,0.0,0.3104232837669705
40,41,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2671809511614674,0.0,0.2671809511614674
41,42,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3296691267035694,0.0,0.3296691267035694
42,43,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466541196892518,0.0,0.3466541196892518
43,44,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2640257776540176,0.0,0.2640257776540176
44,45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2806888141593479,0.0,0.2806888141593479
45,46,0,0,0,0,0.0,0.0,0.0,0.273,0.0,0.0,0.0,0.0,0.0,0.4047994600408276,0.0,0.4047994600408276
46,47,0,0,0,0,0.0,0.02189375,0.0,0.194,0.0,0.0,0.0,0.0,0.0,1.421130213450744,0.0,1.421130213450744
47,48,0,0,0,0,0.0,1.6001625,0.0,0.016,0.0,0.0,0.0,0.0,0.0,1.629085481404344,0.0,1.629085481404344
48,49,0,0,0,0,0.0,0.61385,1.065,0.517,0.141838709677419,0.0,0.0,0.0,0.14,2.643491650520601,0.0,2.643491650520601
49,50,0,0,0,0,0.79978125,0.12185625,0.8627875,0.432,0.143219354838709,0.0,0.0,0.0,0.0,2.459811901185544,0.0,2.459811901185544
