Unnamed: 0,Periods,AC1,AC2,AC3,AC4,Dish washer,Washing Machine,Dryer,Water heater,TV,Microwave,Kettle,Lighting,Refrigerator,Consumption_Total,Generation_Total,datetime,TemperatureC,DewpointC,PressurehPa,WindSpeedKMH,WindSpeedGustKMH,Humidity,HourlyPrecipMM,dailyrainMM,SolarRadiationWatts_m2,Power_Demand
0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2326003794271399,0.0,2019-01-01 00:15:00.000,8,4,1030,5,7,76,0,0,0,0.2326003794271399
1,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1886493403417925,0.0,2019-01-01 00:30:00.000,8,4,1030,3,6,76,0,0,0,0.1886493403417925
2,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3743754207750963,0.0,2019-01-01 00:45:00.000,8,4,1030,4,6,78,0,0,0,0.3743754207750963
3,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4322461614792008,0.0,2019-01-01 01:00:00.000,8,4,1030,3,6,78,0,0,0,0.4322461614792008
4,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1879772561280309,0.0,2019-01-01 01:15:00.000,8,4,1030,2,8,78,0,0,0,0.1879772561280309
5,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1908085896243029,0.0,2019-01-01 01:30:00.000,7,4,1030,3,4,78,0,0,0,0.1908085896243029
6,7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232722947976762,0.0,2019-01-01 01:45:00.000,7,4,1030,4,8,80,0,0,0,0.232722947976762
7,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1900547930441266,0.0,2019-01-01 02:00:00.000,7,4,1030,3,7,81,0,0,0,0.1900547930441266
8,9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1879547852272669,0.0,2019-01-01 02:15:00.000,7,4,1030,4,14,81,0,0,0,0.1879547852272669
9,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2271276936865103,0.0,2019-01-01 02:30:00.000,7,4,1030,4,9,81,0,0,0,0.2271276936865103
10,11,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2001809980520776,0.0,2019-01-01 02:45:00.000,6,3,1031,4,10,82,0,0,0,0.2001809980520776
11,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2312500825721357,0.0,2019-01-01 03:00:00.000,6,3,1030,4,7,82,0,0,0,0.2312500825721357
12,13,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4360376152808463,0.0,2019-01-01 03:15:00.000,6,3,1030,3,8,82,0,0,0,0.4360376152808463
13,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.3464931185452145,0.0,2019-01-01 03:30:00.000,6,3,1030,5,6,82,0,0,0,0.3464931185452145
14,15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1869967077310536,0.0,2019-01-01 03:45:00.000,6,3,1030,3,8,81,0,0,0,0.1869967077310536
15,16,0,0,0,0,0.0,0.0,0.0,0.377,0.0,0.0,0.0,0.0,0.0,0.6864226912581621,0.0,2019-01-01 04:00:00.000,6,3,1030,3,6,81,0,0,0,0.6864226912581621
16,17,0,0,0,0,0.0,0.0,0.0,0.387,0.0,0.0,0.0,0.0,0.0,0.8485236837517939,0.0,2019-01-01 04:15:00.000,6,3,1030,3,5,81,0,0,0,0.8485236837517939
17,18,0,0,0,0,0.0,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.0,0.6055948612098265,0.0,2019-01-01 04:30:00.000,6,3,1030,4,10,82,0,0,0,0.6055948612098265
18,19,0,0,0,0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.14,0.5283644180929012,0.0,2019-01-01 04:45:00.000,6,3,1030,4,6,82,0,0,0,0.5283644180929012
19,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312241337353301,0.0,2019-01-01 05:00:00.000,6,3,1030,5,7,82,0,0,0,0.312241337353301
20,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0811791932239192,0.0,2019-01-01 05:15:00.000,6,3,1030,4,8,82,0,0,0,0.0811791932239192
21,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0785725687352878,0.0,2019-01-01 05:30:00.000,6,3,1030,5,9,82,0,0,0,0.0785725687352878
22,23,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1223581402786454,0.0,2019-01-01 05:45:00.000,5,3,1030,4,10,82,0,0,0,0.1223581402786454
23,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0848664637583859,0.0,2019-01-01 06:00:00.000,5,3,1030,4,9,83,0,0,0,0.0848664637583859
24,25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079734927147538,0.0,2019-01-01 06:15:00.000,5,3,1030,4,11,83,0,0,0,0.079734927147538
25,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2906447589098757,0.0,2019-01-01 06:30:00.000,5,2,1031,3,6,83,0,0,0,0.2906447589098757
26,27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3098655502997913,0.0,2019-01-01 06:45:00.000,5,2,1031,5,7,84,0,0,0,0.3098655502997913
27,28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1602134368294505,0.0,2019-01-01 07:00:00.000,5,2,1031,4,10,84,0,0,0,0.1602134368294505
28,29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1020791737436584,0.0,2019-01-01 07:15:00.000,5,2,1031,5,11,83,0,0,0,0.1020791737436584
29,30,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1065835679422729,0.0,2019-01-01 07:30:00.000,5,2,1031,5,9,84,0,0,0,0.1065835679422729
30,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0818226781094355,0.0,2019-01-01 07:45:00.000,5,2,1031,5,10,84,0,0,0,0.0818226781094355
31,32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0846151982316605,0.0,2019-01-01 08:00:00.000,5,2,1031,5,10,84,0,0,1,0.0846151982316605
32,33,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1132737679424827,0.0,2019-01-01 08:15:00.000,5,2,1031,3,9,84,0,0,9,0.1132737679424827
33,34,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0767462973459176,0.0,2019-01-01 08:30:00.000,5,2,1032,4,8,84,0,0,19,0.0767462973459176
34,35,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0741519297122484,0.0,2019-01-01 08:45:00.000,5,3,1032,6,9,83,0,0,40,0.0741519297122484
35,36,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1914439032731778,0.0,2019-01-01 09:00:00.000,6,3,1032,5,11,82,0,0,73,0.1914439032731778
36,37,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3042192257805303,0.0,2019-01-01 09:15:00.000,6,3,1032,3,8,81,0,0,112,0.3042192257805303
37,38,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.1426207643403493,0.0,2019-01-01 09:30:00.000,7,3,1032,3,6,79,0,0,155,0.1426207643403493
38,39,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.106175006110199,0.0,2019-01-01 09:45:00.000,7,3,1032,1,6,76,0,0,196,0.106175006110199
39,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0886334038501071,0.0,2019-01-01 10:00:00.000,8,4,1032,3,8,75,0,0,230,0.0886334038501071
40,41,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0762866652848345,0.0,2019-01-01 10:15:00.000,8,4,1032,4,6,74,0,0,262,0.0762866652848345
41,42,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941285604915007,0.0,2019-01-01 10:30:00.000,9,4,1032,4,10,72,0,0,291,0.0941285604915007
42,43,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989781894382176,0.0,2019-01-01 10:45:00.000,9,4,1033,3,8,71,0,0,316,0.0989781894382176
43,44,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0753857864451116,0.0,2019-01-01 11:00:00.000,10,5,1032,2,6,70,0,0,337,0.0753857864451116
44,45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0801434889796119,0.0,2019-01-01 11:15:00.000,10,5,1032,3,6,68,0,0,357,0.0801434889796119
45,46,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.1155800994845397,0.0,2019-01-01 11:30:00.000,11,5,1032,2,6,66,0,0,375,0.1155800994845397
46,47,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.4057672691424927,0.0,2019-01-01 11:45:00.000,12,5,1032,1,4,64,0,0,396,0.4057672691424927
47,48,0,0,0,0,0.0,0.0,0.0,0.377,0.0,0.0,0.0,0.0,0.084,0.4651435601977894,0.0,2019-01-01 12:00:00.000,12,5,1032,1,4,62,0,0,406,0.4651435601977894
48,49,0,0,0,0,0.0,0.0,0.0,0.387,0.0305055555555555,0.0,0.0,0.0,0.0,0.754781214191603,0.0,2019-01-01 12:15:00.000,13,6,1032,1,3,60,0,0,418,0.754781214191603
49,50,0,0,0,0,0.0,0.0,0.0,0.456,0.0806888888888888,0.0,0.0,0.0,0.0,0.7023361746174396,0.0,2019-01-01 12:30:00.000,14,5,1031,1,4,57,0,0,420,0.7023361746174396
50,51,0,0,0,0,0.0,0.0,0.0,0.059,0.07925,0.0,0.0,0.0,0.0,0.5015974896645812,0.0,2019-01-01 12:45:00.000,14,5,1031,2,5,55,0,0,423,0.5015974896645812
51,52,0,0,0,0,0.0,0.0,0.0,0.0,0.0749555555555555,0.0,0.0,0.0,0.0,0.3486564534460457,0.0,2019-01-01 13:00:00.000,14,5,1031,3,6,52,0,0,420,0.3486564534460457
52,53,0,0,0,0,0.0,0.0,0.0,0.0,0.0811222222222222,0.0,0.0,0.0,0.084,0.3286818654759538,0.0,2019-01-01 13:15:00.000,15,4,1031,3,6,49,0,0,416,0.3286818654759538
53,54,0,0,0,0,0.0,0.0,0.0,0.0,0.0801722222222222,0.0,0.0,0.0,0.084,0.2551632066034198,0.0,2019-01-01 13:30:00.000,15,5,1031,3,6,50,0,0,407,0.2551632066034198
54,55,0,0,0,0,0.0,0.0,0.0,0.0,0.00285,0.0,0.0,0.0,0.0,0.0888172566745403,0.0,2019-01-01 13:45:00.000,15,5,1031,2,6,52,0,0,393,0.0888172566745403
55,56,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094484009285405,0.0,2019-01-01 14:00:00.000,15,6,1031,4,7,53,0,0,372,0.094484009285405
56,57,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.1032333609192671,0.0,2019-01-01 14:15:00.000,15,6,1031,4,7,54,0,0,291,0.1032333609192671
57,58,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0806133350864968,0.0,2019-01-01 14:30:00.000,15,7,1031,5,8,56,0,0,326,0.0806133350864968
58,59,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1236062966756311,0.0,2019-01-01 14:45:00.000,15,7,1031,3,8,60,0,0,308,0.1236062966756311
59,60,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3582739989730648,0.0,2019-01-01 15:00:00.000,15,7,1031,6,9,60,0,0,292,0.3582739989730648
